Code_commune_INSEE;Nom_commune;Code_postal;Libelle_acheminement;Ligne_5;coordonnees_gps
01198;JOYEUX;01800;JOYEUX;;45.8984701804, 5.16340257624
01200;LABALME;01450;LABALME;;46.1107742949, 5.45519733117
01204;LE POIZAT LALLEYRIAT;01130;LE POIZAT LALLEYRIAT;;46.1948352393, 5.7148151411
01219;LOMPNAS;01680;LOMPNAS;;45.752622921, 5.55446422211
01231;MANZIAT;01570;MANZIAT;;46.3545794503, 4.88868114295
01238;MASSIEUX;01600;MASSIEUX;;45.9478092043, 4.80583207499
01239;MASSIGNIEU DE RIVES;01300;MASSIGNIEU DE RIVES;;45.7328309975, 5.65715901636
01249;MIRIBEL;01700;MIRIBEL;LE MAS RILLIER;45.8388521429, 4.95806179291
01250;MISERIEUX;01600;MISERIEUX;;45.9478092043, 4.80583207499
01258;MONTCEAUX;01090;MONTCEAUX;;46.0869886552, 4.79611073763
01262;MONTLUEL;01120;MONTLUEL;CORDIEUX;45.8725197955, 5.04054729356
01265;MONTREAL LA CLUSE;01460;MONTREAL LA CLUSE;;46.1732029522, 5.56455683284
01269;NANTUA;01130;NANTUA;;46.1948352393, 5.7148151411
01269;NANTUA;01460;NANTUA;;46.1732029522, 5.56455683284
01275;NEYRON;01700;NEYRON;;45.8388521429, 4.95806179291
01277;NIVOLLET MONTGRIFFON;01230;NIVOLLET MONTGRIFFON;;45.9329292993, 5.4692328328
01281;ORNEX;01210;ORNEX;;46.2774426572, 6.10074151675
01283;OYONNAX;01100;OYONNAX;VEYZIAT;46.2468792013, 5.65226081977
01295;PEYZIEUX SUR SAONE;01140;PEYZIEUX SUR SAONE;;46.1670266686, 4.8459954399
01296;PIRAJOUX;01270;PIRAJOUX;;46.3890219242, 5.30343220636
01298;PLAGNE;01130;PLAGNE;;46.1948352393, 5.7148151411
01301;POLLIAT;01310;POLLIAT;;46.2412963633, 5.11553315012
01302;POLLIEU;01350;POLLIEU;;45.8543854094, 5.76557245306
01306;PONT DE VEYLE;01290;PONT DE VEYLE;;46.2466681, 4.88543738301
01307;PORT;01460;PORT;;46.1732029522, 5.56455683284
01316;PUGIEU;01510;PUGIEU;;45.8480243468, 5.61949053703
01321;REVONNAS;01250;REVONNAS;;46.2066710432, 5.38605889851
01328;ROMANS;01400;ROMANS;;46.1331001556, 4.99858455549
01329;ROSSILLON;01510;ROSSILLON;;45.8480243468, 5.61949053703
01335;ST ANDRE LE BOUCHOUX;01240;ST ANDRE LE BOUCHOUX;;46.0916655381, 5.14797548998
01352;ST ETIENNE SUR REYSSOUZE;01190;ST ETIENNE SUR REYSSOUZE;;46.4316836316, 4.96424452785
01363;ST JEAN LE VIEUX;01640;ST JEAN LE VIEUX;;46.0337779297, 5.42151732468
01374;ST MARTIN DU MONT;01160;ST MARTIN DU MONT;;46.0747014809, 5.31394582841
01375;ST MARTIN LE CHATEL;01310;ST MARTIN LE CHATEL;;46.2412963633, 5.11553315012
01387;ST SULPICE;01340;ST SULPICE;;46.3400485451, 5.13297724307
01391;SALAVRE;01270;SALAVRE;;46.3890219242, 5.30343220636
01392;SAMOGNAT;01580;SAMOGNAT;;46.2402104429, 5.54908625912
01393;SANDRANS;01400;SANDRANS;;46.1331001556, 4.99858455549
